genome_id	abundance	rank
GCF_001275455.1	0.26642455	1
GCF_000849665.1	0.10319377	2
GCF_001443905.1	0.09866417	3
GCF_001504835.1	0.07128462	4
GCF_009901755.1	0.06501311	5
GCF_000849685.1	0.06365150	6
GCF_000840785.1	0.05185900	7
GCF_002621025.1	0.04837915	8
GCF_011900995.1	0.04215195	9
GCF_001714475.1	0.02954057	10
GCF_000868665.1	0.02660786	11
GCF_003179995.1	0.01807869	12
GCF_000838865.1	0.01639716	13
GCF_002957465.1	0.01142963	14
GCF_000884975.1	0.00901427	15
GCF_003033185.1	0.00804931	16
GCF_002618845.1	0.00717031	17
GCF_000883215.1	0.00708601	18
GCF_000844645.1	0.00694867	19
GCF_002618885.1	0.00610251	20
GCF_000839525.1	0.00584800	21
GCF_008791745.1	0.00507845	22
GCF_002618905.1	0.00490049	23
GCF_002618925.1	0.00445773	24
GCF_000836805.1	0.00373220	25
GCF_000837805.1	0.00326018	26
GCF_009800845.1	0.00277721	27
GCF_000843825.1	0.00198049	28
GCF_000845665.1	0.00193754	29
GCF_002618945.1	0.00094360	30
GCF_002614425.1	0.00087057	31
GCF_002601645.1	0.00081165	32
GCF_002922465.1	0.00077605	33
GCF_000839985.1	0.00076393	34
GCF_002921355.1	0.00064985	35
GCF_002618965.1	0.00064539	36
GCF_000864545.1	0.00061221	37
GCF_004133945.1	0.00058600	38
GCF_002921365.1	0.00054032	39
GCF_003051725.1	0.00051267	40
GCF_002618865.1	0.00037566	41
GCF_000904135.1	0.00032802	42
GCF_000836925.1	0.00023048	43
GCF_000819615.1	0.00017139	44
GCF_014042105.1	0.00009447	45
GCF_002622345.1	0.00005526	46
GCF_002607145.1	0.00001335	47
